img_name,plane
2016-08-02T13+50+24_430Z,False
2016-08-02T14+12+37_390Z,False
2016-08-02T22+20+26_600Z,False
2016-08-03T12+04+30_670Z,False
2016-08-03T12+32+21_790Z,False
2016-08-03T13+19+28_320Z,False
2016-08-03T17+05+28_270Z,False
2016-08-03T22+21+37_680Z,False
2016-08-05T15+07+06_220Z,False
2016-08-05T15+24+58_670Z,False
2016-08-05T15+56+24_160Z,False
2016-08-05T15+59+58_190Z,False
2016-08-05T23+17+30_100Z,False
2016-08-06T19+33+04_810Z,False
2016-08-06T19+34+24_330Z,False
2016-08-06T19+35+37_750Z,False
2016-08-06T19+36+44_640Z,False
2016-08-06T19+39+54_500Z,False
2016-08-06T19+52+37_110Z,False
2016-08-06T19+56+00_110Z,False
2016-08-06T19+56+12_180Z,False
2016-08-06T20+11+41_090Z,False
2016-08-06T20+12+48_300Z,False
2016-08-06T20+13+17_820Z,False
2016-08-06T20+36+18_210Z,False
2016-08-07T12+55+29_840Z,False
2016-08-07T14+36+25_880Z,False
2016-08-07T17+22+10_590Z,False
2016-08-07T17+23+58_570Z,False
2016-08-07T17+42+43_350Z,False
2016-08-07T18+08+06_500Z,False
2016-08-07T18+08+35_190Z,False
2016-08-07T18+15+49_220Z,False
2016-08-07T18+39+36_420Z,False
2016-08-07T18+47+42_620Z,False
2016-08-07T19+00+57_850Z,False
2016-08-07T19+09+11_810Z,False
2016-08-07T19+12+08_450Z,False
2016-08-07T19+25+20_830Z,False
2016-08-07T19+39+12_240Z,False
2016-08-07T19+40+29_790Z,False
2016-08-07T19+41+02_960Z,False
2016-08-07T19+44+49_120Z,False
2016-08-07T19+46+51_370Z,False
2016-08-07T19+54+31_540Z,False
2016-08-07T21+23+08_630Z,False
2016-08-07T22+00+25_890Z,False
2016-08-07T23+20+32_540Z,False
2016-08-07T23+52+42_850Z,False
2016-08-08T12+00+45_420Z,False
2016-08-08T13+37+31_150Z,False
2016-08-08T13+40+34_350Z,False
2016-08-08T16+11+51_240Z,False
2016-08-08T18+30+22_920Z,False
2016-08-09T16+59+52_220Z,False
2016-08-09T17+39+01_400Z,False
2016-08-09T19+23+40_610Z,False
2016-08-09T21+02+29_490Z,False
2016-08-09T21+21+02_130Z,False
2016-08-10T20+09+33_880Z,False
2016-08-11T01+11+19_530Z,False
2016-08-11T18+02+33_450Z,False
2016-08-11T18+07+39_890Z,False
2016-08-11T18+38+39_980Z,False
2016-08-11T18+41+36_350Z,False
2016-08-11T19+29+49_670Z,False
2016-08-12T00+24+43_420Z,False
2016-08-12T14+20+44_950Z,False
2016-08-12T14+39+10_590Z,False
